dataset,comparison_type,comparison,metric,mean_treatment,mean_baseline,delta,delta_pct,ci_low,ci_high,p_sign,wilcoxon_p,sign_test_p,n_positive,n_negative,n_zero,n_seeds,direction,claim_support,bh_p,bh_reject_05
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,crowding,0.984652704000473,0.9966787040233612,-0.012026000022888205,-0.012066075029324858,-0.015206227153539713,-0.009061195552349091,0.0,0.001953125,0.001953125,0,10,0,10,lower_is_better,supports_treatment,0.0029296875,True
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,co_crash_freq,0.17451948076486587,0.17563636451959605,-0.0011168837547302108,-0.006359068964896726,-0.0020000010728835785,-0.0005194813013076616,0.0,0.00390625,0.00390625,0,9,1,10,lower_is_better,supports_treatment,0.0052734375,True
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,mean_payoff,0.013833758770488152,0.01549986694008108,-0.0016661081695929299,-0.1074917724085135,-0.0034680212574312633,-6.126481806859546e-05,0.039,0.130859375,0.75390625,4,6,0,10,higher_is_better,supports_baseline,0.15361752717391305,False
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,mean_effort,0.04006838388741011,0.04005588516592977,1.2498721480350833e-05,0.00031203208787581124,-9.039528667937855e-06,3.372257575390942e-05,0.2674,0.431640625,0.34375,7,3,0,10,higher_is_better,mixed_or_not_significant,0.47568558673469385,False
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,mean_systematic_exposure,0.9886373341083526,1.002239179611206,-0.013601845502853427,-0.013571456573985018,-0.01567237943410885,-0.011611875295639059,0.0,0.001953125,0.001953125,0,10,0,10,lower_is_better,supports_treatment,0.0029296875,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,principal_CE,-0.5836698191295682,-0.5881915910470593,0.004521771917491191,0.0076875834104226945,0.003102461496708904,0.0057554417540164465,0.0,0.001953125,0.001953125,10,0,0,10,higher_is_better,supports_treatment,0.0029296875,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,policy_objective,-0.6821350895296154,-0.6878594477403273,0.005724358210711733,0.008321988204870023,0.004568054458754419,0.006707907005982846,0.0,0.001953125,0.001953125,10,0,0,10,higher_is_better,supports_treatment,0.0029296875,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,CVaR95_loss,0.8605304467863369,0.869650974916053,-0.009120528129716,-0.010487573052609883,-0.010479264931820826,-0.007659101397416779,0.0,0.001953125,0.001953125,0,10,0,10,lower_is_better,supports_treatment,0.0029296875,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,CVaR99_loss,1.6673836772258466,1.6794878770143558,-0.01210419978850923,-0.007207077796845901,-0.014917408480094109,-0.009760057475322234,0.0,0.001953125,0.001953125,0,10,0,10,lower_is_better,supports_treatment,0.0029296875,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,crowding,0.984652704000473,0.9966785669326782,-0.012025862932205233,-0.012065939141445858,-0.015167504101991643,-0.008952303528785717,0.0,0.001953125,0.001953125,0,10,0,10,lower_is_better,supports_treatment,0.0029296875,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,co_crash_freq,0.17451948076486587,0.17563636451959605,-0.0011168837547302108,-0.006359068964896726,-0.0020000025629997196,-0.0005194798111915422,0.0,0.00390625,0.00390625,0,9,1,10,lower_is_better,supports_treatment,0.0052734375,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,mean_payoff,0.013833758770488152,0.015516060031950418,-0.0016823012614622696,-0.10842322457438802,-0.0034847148909466566,-0.00010676448931915122,0.0336,0.130859375,0.75390625,4,6,0,10,higher_is_better,supports_baseline,0.15361752717391305,False
